"Daylight",1,3,"06/24/23 - Minneapolis"
"Daylight",NA,NA,"02/18/24 - Melbourne (mashup with ""Come Back...Be Here"")"
"Daylight",NA,NA,"06/07/24 - Edinburgh (mashup with ""tis the damn season"")"
"Daylight",NA,NA,"10/18/24 - Miami (mashup with ""this is me trying"")"
"All Of The Girls You Loved Before",1,1,"07/29/23 - Santa Clara"
"All Of The Girls You Loved Before",NA,NA,"06/08/24 - Edinburgh (mashup with ""Crazier"")"
"the 1",0,1,"07/13/24 - Milan (mashup with ""Wonderland"")"
"the last great american dynasty",0,2,"07/24/24 - Hamburg (mashup with ""Run"")"
"the last great american dynasty",NA,NA,"11/22/24 - Toronto (mashup with ""Ours"")"
"exile",1,4,"08/07/23 - Los Angeles"
"exile",NA,NA,"02/25/24 - Sydney (mashup with ""Haunted"")"
"exile",NA,NA,"06/09/24 - Edinburgh (mashup with ""Haunted"")"
"exile",NA,NA,"08/03/24 - Warsaw (mashup with ""The Black Dog"")"
"exile",NA,NA,"11/01/24 - Indianapolis (mashup with ""Cold As You"")"
"mirrorball",1,3,"03/17/23 - Glendale"
"mirrorball",NA,NA,"03/09/24 - Singapore (mashup with ""epiphany"")"
"mirrorball",NA,NA,"08/01/24 - Warsaw (mashup with ""Clara Bow"")"
"mirrorball",NA,NA,"10/20/24 - Miami (mashup with ""Guilty as Sin?"")"
"seven",1,0,"06/17/23 - Pittsburgh"
"august",0,1,"02/17/24 - Melbourne (mashup with ""Getaway Car"" and ""The Other Side Of The Door"")"
"this is me trying",1,3,"03/18/23 - Glendale"
"this is me trying",NA,NA,"02/17/24 - Melbourne"
"this is me trying",NA,NA,"07/18/24 - Gelsenkirchen (mashup with ""Labyrinth"")"
"this is me trying",NA,NA,"10/18/24 - Miami (mashup with ""Daylight"")"
"invisible string",NA,1,"07/17/24 - Gelsenkirchen (mashup with ""Superstar"")"
"mad woman",1,1,"04/15/23 - Tampa"
"mad woman",NA,NA,"11/22/24 - Toronto (mashup with ""Cassandra"" and ""I Did Something Bad"")"
"epiphany",0,1,"03/09/24 - Singapore (mashup with ""mirrorball"")"
"peace",0,1,"02/24/24 - Sydney (mashup with ""New Year's Day"")"
"hoax",0,1,"06/28/24 - Dublin (mashup with ""Sweet Nothing"")"
"the lakes",1,1,"06/02/23 - Chicago"
"the lakes",NA,NA,"06/18/24 - Cardiff (mashup with ""I Hate It Here"")"
"gold rush",1,2,"05/12/23 - Philadelphia"
"gold rush",NA,NA,"03/08/24 - Singapore (mashup with ""Sparks Fly"")"
"gold rush",NA,NA,"06/14/24 - Liverpool (mashup with ""This Is What You Came For"")"
"'tis the damn season",0,2,"06/07/24 - Edinburgh (mashup with ""Daylight"")"
"'tis the damn season",NA,NA,"11/14/24 - Toronto (mashup with ""False God"")"
"no body, no crime",0,1,"06/15/24 - Liverpool (mashup with ""Carolina"")"
"happiness",0,1,"07/23/24 - Hamburg (mashup with ""We Were Happy"")"
"dorothea",1,1,"07/08/23 - Kansas City"
"dorothea",NA,NA,"06/09/24 - Edinburgh (mashup with ""It's Nice To Have A Friend"")"
"coney island",1,2,"04/28/23 - Atlanta"
"coney island",NA,NA,"02/23/24 - Sydney (mashup with ""White Horse"")"
"coney island",NA,NA,"08/17/24 - London (mashup with ""My Boy Only Breaks His Favorite Toys"")"
"ivy",1,2,"07/01/23 - Cincinnati"
"ivy",NA,NA,"02/26/24 - Sydney (mashup with ""Would've, Could've, Should've"")"
"ivy",NA,NA,"07/27/24 - Munich (mashup with ""Call It What You Want"")"
"cowboy like me",1,3,"03/25/23 - Las Vegas"
"cowboy like me",NA,NA,"03/09/24 - Singapore (mashup with ""Tim McGraw"")"
"cowboy like me",NA,NA,"07/05/24 - Amsterdam (mashup with ""You Are In Love"")"
"cowboy like me",NA,NA,"11/02/24 - Indianapolis (mashup with ""Maroon"")"
"long story short",0,3,"03/03/24 - Singapore (mashup with ""The Story Of Us"")"
"long story short",NA,NA,"06/02/24 - Lyon (mashup with ""The Prophecy"")"
"long story short",NA,NA,"11/16/24 - Toronto (mashup with ""You're On Your Own, Kid"")"
"closure",0,1,"07/10/24 - Zurich (mashup with ""A Perfectly Good Heart"")"
"evermore",1,2,"06/30/23 - Cincinnati"
"evermore",NA,NA,"03/03/24 - Singapore (mashup with ""Clean"")"
"evermore",NA,NA,"11/15/24 - Toronto (mashup with ""Peter"")"
"right where you left me",1,1,"07/28/23 - Santa Clara"
"right where you left me",NA,NA,"07/09/24 - Zurich (mashup with ""All You Had To Do Was Stay"")"
"it's time to go",1,1,"11/26/23 - São Paulo"
"it's time to go",NA,NA,"07/19/24 - Gelsenkirchen (mashup with ""Better Man"")"
"Maroon",3,7,"05/26/23 - East Rutherford"
"Maroon",NA,NA,"08/03/23 - Los Angeles"
"Maroon",NA,NA,"08/27/23 - Mexico City"
"Maroon",NA,NA,"02/26/24 - Sydney (mashup with ""Forever & Always"")"
"Maroon",NA,NA,"05/11/24 - Paris"
"Maroon",NA,NA,"06/13/24 - Liverpool (mashup with ""Cornelia Street"")"
"Maroon",NA,NA,"06/21/24 - London (mashup with ""The Black Dog"" and ""Come Back...Be Here"")"
"Maroon",NA,NA,"08/02/24 - Warsaw (mashup with ""Red"")"
"Maroon",NA,NA,"11/02/24 - Indianapolis (mashup with ""cowboy like me"")"
"Maroon",NA,NA,"12/08/24 - Vancouver (mashup with ""The Tortured Poets Department"")"
"Snow On The Beach",2,1,"03/24/23 - Las Vegas"
"Snow On The Beach",NA,NA,"08/25/23 - Mexico City"
"Snow On The Beach",NA,NA,"05/29/24 - Madrid (mashup with ""I Look in People's Windows"")"
"You're On Your Own, Kid",3,8,"04/14/23 - Tampa"
"You're On Your Own, Kid",NA,NA,"08/05/23 - Los Angeles"
"You're On Your Own, Kid",NA,NA,"08/26/23 - Mexico City"
"You're On Your Own, Kid",NA,NA,"02/10/24 - Tokyo"
"You're On Your Own, Kid",NA,NA,"03/07/24 - Singapore (mashup with ""Fifteen"")"
"You're On Your Own, Kid",NA,NA,"05/25/24 - Lisbon (mashup with ""Long Live"")"
"You're On Your Own, Kid",NA,NA,"06/02/24 - Lyon (mashup with ""Fifteen"")"
"You're On Your Own, Kid",NA,NA,"06/28/24 - Dublin (mashup with ""State Of Grace"")"
"You're On Your Own, Kid",NA,NA,"06/30/24 - Dublin"
"You're On Your Own, Kid",NA,NA,"08/19/24 - London (mashup with ""The Archer"")"
